timestamp_utc,level,category,class_method,event,args,ret,details,raw
2025-10-13T08:24:53.056548Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056555Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056561Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056563Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056566Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056571Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056575Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056578Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056581Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056585Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056590Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056593Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056596Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056600Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056605Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056608Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056610Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056615Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056619Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056622Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
